CAMPUS;CURSO
Belém;076 - Engenharia de Telecomunicações - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;077 - Engenharia de Telecomunicações - Bacharelado (Extensivo/Vespertino/Entrada 2)
Belém;078 - *Engenharia Elétrica - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;079 - *Engenharia Elétrica - Bacharelado (Extensivo/Integral/Entrada 2)
Belém;080 - Engenharia Ferroviária e Logística - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;081 - Engenharia Mecânica - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;082 - Engenharia Mecânica - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;083 - Engenharia Naval - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;084 - Engenharia Química - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;085 - Engenharia Química - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;086 - Engenharia Sanitária e Ambiental - Bacharelado (Extensivo/Matutino/Entrada 2)
Belém;087 - Engenharia Sanitária e Ambiental - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;088 - Estatística - Bacharelado (Extensivo/Vespertino/Entrada 1)
Belém;089 - *Farmácia - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;090 - *Farmácia - Bacharelado (Extensivo/Integral/Entrada 2)
Belém;091 - Filosofia - Licenciatura (Extensivo/Integral/Entrada 1)
Belém;092 - Filosofia - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;093 - Física - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;094 - Física - Licenciatura (Extensivo/Vespertino/Entrada 1)
Belém;095 - Física - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;096 - Fisioterapia - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;097 - Geofísica - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;098 - Geografia - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;099 - Geografia - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;100 - Geologia - Bacharelado (Extensivo/Integral/Entrada 1)
Belém;101 - História - Licenciatura (Extensivo/Noturno/Entrada 1)
Belém;102 - História - Bacharelado (Extensivo/Matutino/Entrada 1)
Belém;103 - Letras - Libras - Licenciatura (Intensivo/Integral/Entrada 2)
Belém;104 - Letras - Alemão - Licenciatura (Extensivo/Matutino/Entrada 1)
Belém;105 - Letras - Espanhol - Licenciatura (Extensivo/Noturno/Entrada 2)
Belém;106 - Letras - Francês - Licenciatura (Extensivo/Matutino/Entrada 1)
