instituto;tipo;valor
ICB;total;755425
ICB;Apoio à Graduação;30951
ICB;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;484274
ICB;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;169800
ICB;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICB;Viagem de Campo - do Instituto;0
ICB;Capacitação de Servidores Públicos;9900
ICB;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;60500
ICS;total;700410
ICS;Apoio à Graduação;955
ICS;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;563668
ICS;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;82799
ICS;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ICS;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICS;Viagem de Campo - do Instituto;0
ICS;Capacitação de Servidores Públicos;0
ICS;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;52988
ICEN;total;549947
ICEN;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;383088
ICEN;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;97340
ICEN;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICEN;Capacitação de Servidores Públicos;5756
ICEN;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;63763
ICJ;total;200503
ICJ;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;138134
ICJ;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;38054
ICJ;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICJ;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;24315
ICED;total;374173
ICED;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;245590
ICED;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;78181
ICED;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICED;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;50402
IFCH;total;479800
IFCH;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;302850
IFCH;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;85922
IFCH;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
IFCH;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
IFCH;Viagem de Campo - do Instituto;23418
IFCH;Viagem de Campo - da Faculdade de Geografia e Cartografia;3725
IFCH;Capacitação de Servidores Públicos;10543
IFCH;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;53342
ILC;total;342302
ILC;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;202558
ILC;Matriz Orçamentária - INCENTIVO A PERMANÊNCIA ESCOLAR DOS DISCENTES DO ILC;0
ILC;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;81405
ILC;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ILC;Acervo Bibliográfico;3272
ILC;Capacitação de Servidores Públicos;6106
ILC;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;48961
ICSA;total;441463
ICSA;Apoio à Graduação;35320
ICSA;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;264519
ICSA;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;75978
ICSA;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ICSA;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICSA;Viagem de Campo - DA FACULDADE DE TURISMO;0
ICSA;Acervo Bibliográfico;5000
ICSA;Capacitação de Servidores Públicos;4500
ICSA;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;56146
ITEC;total;767934
ITEC;Apoio à Graduação;58572
ITEC;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;519414
ITEC;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;107012
ITEC;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ITEC;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ITEC;Viagem de Campo - VISITAS TÉCNICAS DO ITEC;0
ITEC;Capacitação de Servidores Públicos;13504
ITEC;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;69432
ICA;total;2809623
ICA;Matriz Orçamentária - FUNCIONAMENTO DAS UNIDADES ACADÊMICAS;206592
ICA;Apoio à Graduação;111961
ICA;PROINFRA - RECUPERAÇÃO DA INFRA-ESTRUTURA FÍSICA DAS UNIDADES ACADÊMICAS;36510
ICA;PROINFRA - AQUISIÇÃO DE MOBILIÁRIO PARA AS UNIDADES ACADÊMICAS;0
ICA;PROINFRA - AQUISIÇÃO DE EQUIPAMENTOS PARA AS UNIDADES ACADÊMICAS;0
ICA;Educação Profissional - MANUTENÇÃO DA ESCOLA DE MÚSICA - EMUFPA/ICA;852699
ICA;Educação Profissional - MANUTENÇÃO DA ESCOLA DE TEATRO E DANÇA - ETDUFPA/ICA;883603
ICA;Educação Profissional - TECNOLOGIA DA INFORMAÇÃO DA ESCOLA DE MÚSICA - EMUFPA/ICA;66200
ICA;Educação Profissional - TECNOLOGIA DA INFORMAÇÃO DA ESCOLA DE TEATRO E DANÇA - ETDUFPA/ICA;128135
ICA;Tecnologia da Informação - DAS UNIDADES ACADÊMICAS;24641
ICA;Assistência ao Educando do Ensino Técnico - ASSISTÊNCIA ESTUDANTIL NA EPT - EMUFPA/ICA;237640
ICA;Assistência ao Educando do Ensino Técnico - ASSISTÊNCIA ESTUDANTIL NA EPT - ETDUFPA/ICA;261642
