Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);Observação
2017;5902;ENGENHARIA MECÂNICA;3172;UNIVERSIDADE DO ESTADO DO AMAZONAS;UEA;Universidade;Pública Estadual;71067;Educação Presencial;1302603;Manaus;AM;45;41;"57,7244";"2,5806";"45,5317";"2,7609";"2,7158";3;
2017;5902;ENGENHARIA MECÂNICA;3189;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS";IFMG;"Instituto Federal de Educação, Ciência e Tecnologia";Pública Federal;1294715;Educação Presencial;3118007;Congonhas;MG;9;9;"72,9444";"4,5758";"46,6444";"2,9015";"3,3201";4;
2017;5902;ENGENHARIA MECÂNICA;3333;CENTRO UNIVERSITÁRIO UNIFTEC;;Centro Universitário;Privada com fins lucrativos;1108433;Educação Presencial;4305108;Caxias do Sul;RS;26;25;"57,804";"2,591";"40,144";"2,0801";"2,2078";3;
2017;5902;ENGENHARIA MECÂNICA;3368;CENTRO UNIVERSITÁRIO DO SUL DE MINAS;UNIS-MG;Centro Universitário;Privada sem fins lucrativos;2656;Educação Presencial;3170701;Varginha;MG;44;44;"57,5182";"2,5535";"42,8159";"2,4177";"2,4517";3;
2017;5902;ENGENHARIA MECÂNICA;3641;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS;UNIFEB;Centro Universitário;Privada sem fins lucrativos;115896;Educação Presencial;3505500;Barretos;SP;186;103;"48,9485";"1,4301";"30,6796";"0,884";"1,0206";2;
2017;5902;ENGENHARIA MECÂNICA;3648;INSTITUTO DE ENSINO SUPERIOR DE CUIABÁ;;Faculdade;Privada com fins lucrativos;1135691;Educação Presencial;5103403;Cuiabá;MT;79;69;"44,8971";"0,899";"23,6841";0;"0,2247";1;
2017;5902;ENGENHARIA MECÂNICA;3840;CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Centro Universitário;Privada com fins lucrativos;1187564;Educação Presencial;4209300;Lages;SC;9;9;"56,2222";"2,3836";"37,4667";"1,7417";"1,9022";2;
2017;5902;ENGENHARIA MECÂNICA;3853;FACULDADE UNINASSAU NATAL;;Faculdade;Privada com fins lucrativos;1163879;Educação Presencial;2408102;Natal;RN;14;14;"53,2714";"1,9968";"40,2714";"2,0962";"2,0713";3;
2017;5902;ENGENHARIA MECÂNICA;3879;Centro Universitário Maurício de Nassau de Campina Grande;UNINASSAU CPV;Centro Universitário;Privada com fins lucrativos;1164655;Educação Presencial;2504009;Campina Grande;PB;26;26;"52,3538";"1,8765";"36,5231";"1,6225";"1,686";2;
2017;5902;ENGENHARIA MECÂNICA;3936;FACULDADE ANHANGUERA DE LIMEIRA;;Faculdade;Privada com fins lucrativos;1069852;Educação Presencial;3526902;Limeira;SP;32;19;"55,5421";"2,2945";"36,5947";"1,6315";"1,7973";2;
2017;5902;ENGENHARIA MECÂNICA;3962;CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI CIMATEC;Centro Universitário;Privada sem fins lucrativos;1050764;Educação Presencial;2927408;Salvador;BA;35;33;"63,5121";"3,3393";"48,2667";"3,1065";"3,1647";4;
2017;5902;ENGENHARIA MECÂNICA;3974;UNIVERSIDADE DE RIO VERDE;FESURV;Universidade;Pública Municipal;69210;Educação Presencial;5218805;Rio Verde;GO;56;45;"47,9022";"1,2929";"35,9511";"1,5502";"1,4859";2;
2017;5902;ENGENHARIA MECÂNICA;3984;FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF;Universidade;Pública Federal;74068;Educação Presencial;2918407;Juazeiro;BA;33;31;"55,7548";"2,3224";"45,0516";"2,7002";"2,6058";3;
2017;5902;ENGENHARIA MECÂNICA;4045;Centro Universitário SOCIESC de Curitiba;UNISOCIESC;Centro Universitário;Privada sem fins lucrativos;1167277;Educação Presencial;4106902;Curitiba;PR;2;0;;;;;;SC;
2017;5902;ENGENHARIA MECÂNICA;4090;FACULDADE DE ROSEIRA;FARO;Faculdade;Privada com fins lucrativos;1135897;Educação Presencial;3544301;Roseira;SP;34;29;"41,7759";"0,4898";"31,1414";"0,9424";"0,8292";1;
2017;5902;ENGENHARIA MECÂNICA;4138;FACULDADE ANHANGUERA DE SANTA BÁRBARA;;Faculdade;Privada com fins lucrativos;92947;Educação Presencial;3545803;Santa Bárbara d'Oeste;SP;64;50;"43,48";"0,7132";"30,226";"0,8267";"0,7983";1;
2017;5902;ENGENHARIA MECÂNICA;4256;FACULDADES INTEGRADAS PITÁGORAS;FIP-MOC;Faculdade;Privada com fins lucrativos;1161199;Educação Presencial;3143302;Montes Claros;MG;109;104;"53,0673";"1,97";"35,1663";"1,451";"1,5808";2;
2017;5902;ENGENHARIA MECÂNICA;4362;FACULDADE PITÁGORAS DE BETIM;PITÁGORAS-BETIM;Faculdade;Privada com fins lucrativos;108714;Educação Presencial;3106705;Betim;MG;125;93;"51,9688";"1,826";"34,6957";"1,3916";"1,5002";2;
2017;5902;ENGENHARIA MECÂNICA;4452;FACULDADE METROPOLITANA DE MARABÁ;METROPOLITANA;Faculdade;Privada com fins lucrativos;1174543;Educação Presencial;1504208;Marabá;PA;6;6;"48,9";"1,4237";"39,9833";"2,0598";"1,9008";2;
2017;5902;ENGENHARIA MECÂNICA;4460;FACULDADE DOM PEDRO II DE TECNOLOGIA;FAB;Faculdade;Privada com fins lucrativos;1159178;Educação Presencial;2927408;Salvador;BA;15;15;47;"1,1747";"29,3667";"0,7181";"0,8323";1;
2017;5902;ENGENHARIA MECÂNICA;4495;FACULDADE ANHANGUERA JARAGUÁ DO SUL;;Faculdade;Privada com fins lucrativos;1069637;Educação Presencial;4208906;Jaraguá do Sul;SC;29;25;"47,08";"1,1851";"31,172";"0,9463";"1,006";2;
2017;5902;ENGENHARIA MECÂNICA;4503;UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Universidade;Pública Federal;1173700;Educação Presencial;2909802;Cruz das Almas;BA;10;10;"51,94";"1,8223";"38,87";"1,9191";"1,8949";2;
2017;5902;ENGENHARIA MECÂNICA;4522;CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM;UNISALESIANO;Centro Universitário;Privada sem fins lucrativos;1115110;Educação Presencial;3502804;Araçatuba;SP;38;32;"55,6656";"2,3107";"37,8906";"1,7953";"1,9241";2;
2017;5902;ENGENHARIA MECÂNICA;4652;FACULDADE ANHANGÜERA DE SÃO JOSÉ;;Faculdade;Privada com fins lucrativos;1069560;Educação Presencial;3549904;São José dos Campos;SP;66;58;"45,7879";"1,0158";"31,1103";"0,9385";"0,9578";2;
2017;5902;ENGENHARIA MECÂNICA;4656;FACULDADE ANHANGÜERA DE PIRACICABA;;Faculdade;Privada com fins lucrativos;1069526;Educação Presencial;3538709;Piracicaba;SP;54;45;"51,22";"1,7279";"33,2089";"1,2037";"1,3347";2;
2017;5902;ENGENHARIA MECÂNICA;4863;FACULDADE PITÁGORAS DE POÇOS DE CALDAS;;Faculdade;Privada com fins lucrativos;1109848;Educação Presencial;3151800;Poços de Caldas;MG;47;40;"50,0525";"1,5748";"34,735";"1,3965";"1,4411";2;
2017;5902;ENGENHARIA MECÂNICA;4865;FACULDADE PITÁGORAS DE SÃO LUIZ;;Faculdade;Privada com fins lucrativos;1059197;Educação Presencial;2111300;São Luís;MA;43;41;"47,1854";"1,199";"31,3829";"0,9729";"1,0294";2;
2017;5902;ENGENHARIA MECÂNICA;5288;FACULDADE ANHANGÜERA DE RIBEIRÃO PRETO;;Faculdade;Privada com fins lucrativos;122512;Educação Presencial;3543402;Ribeirão Preto;SP;68;62;"51,5371";"1,7694";"37,3984";"1,7331";"1,7422";2;
2017;5902;ENGENHARIA MECÂNICA;5322;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA;UNIPAMPA;Universidade;Pública Federal;122050;Educação Presencial;4300406;Alegrete;RS;24;24;"61,0208";"3,0127";"46,5375";"2,888";"2,9192";3;
2017;5902;ENGENHARIA MECÂNICA;5550;FACULDADE ANHANGUERA DE ANÁPOLIS;;Faculdade;Privada com fins lucrativos;119208;Educação Presencial;5201108;Anápolis;GO;46;30;"40,64";"0,3409";"24,4167";"0,0926";"0,1547";1;
2017;5902;ENGENHARIA MECÂNICA;5555;FACULDADE ANHANGUERA DE JACAREÍ;;Faculdade;Privada com fins lucrativos;1117759;Educação Presencial;3524402;Jacareí;SP;51;41;"51,6829";"1,7886";"29,3512";"0,7162";"0,9843";2;
2017;5902;ENGENHARIA MECÂNICA;5668;FACULDADE ANHANGUERA DE JOINVILLE;;Faculdade;Privada com fins lucrativos;1069636;Educação Presencial;4209102;Joinville;SC;11;7;"48,7";"1,3975";"37,6";"1,7586";"1,6683";2;
2017;5902;ENGENHARIA MECÂNICA;5669;FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DOS CAMPOS;ETEP;Faculdade;Privada com fins lucrativos;6560;Educação Presencial;3549904;São José dos Campos;SP;271;234;"50,3825";"1,6181";"34,8637";"1,4128";"1,4641";2;
2017;5902;ENGENHARIA MECÂNICA;10685;FACULDADE NORTE CAPIXABA DE SAO MATEUS;MULTIVIX SÃO MATEUS;Faculdade;Privada com fins lucrativos;1002972;Educação Presencial;3204906;São Mateus;ES;6;5;"56,1";"2,3676";"30,3";"0,8361";"1,219";2;
2017;5902;ENGENHARIA MECÂNICA;11308;FACULDADE ANHANGUERA DE SUMARÉ;FACSUMARÉ;Faculdade;Privada com fins lucrativos;1008077;Educação Presencial;3552403;Sumaré;SP;21;11;"58,3909";"2,6679";"37,7818";"1,7816";"2,0032";3;
2017;5902;ENGENHARIA MECÂNICA;11750;FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM;-;Faculdade;Privada com fins lucrativos;1011004;Educação Presencial;3557006;Votorantim;SP;57;48;"53,8396";"2,0713";"35,1563";"1,4498";"1,6051";2;
2017;5902;ENGENHARIA MECÂNICA;12922;FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA;FATEC/BA;Faculdade;Privada com fins lucrativos;1057561;Educação Presencial;2900702;Alagoinhas;BA;30;27;"39,7593";"0,2254";"29,5407";"0,7401";"0,6114";1;
2017;5902;ENGENHARIA MECÂNICA;13133;FACULDADE PITÁGORAS DE GOIÂNIA;;Faculdade;Privada com fins lucrativos;1123253;Educação Presencial;5208707;Goiânia;GO;72;60;"47,9833";"1,3036";"33,7367";"1,2704";"1,2787";2;
2017;5902;ENGENHARIA MECÂNICA;13684;FACULDADE PITÁGORAS DE CONTAGEM;PIT Contagem;Faculdade;Privada com fins lucrativos;1068927;Educação Presencial;3118601;Contagem;MG;52;52;"52,6885";"1,9204";"36,4808";"1,6171";"1,6929";2;
2017;5902;ENGENHARIA MECÂNICA;13743;FACULDADE PITÁGORAS DE GOVERNADOR VALADARES;PIT GV;Faculdade;Privada com fins lucrativos;1070321;Educação Presencial;3127701;Governador Valadares;MG;79;75;"52,9373";"1,953";"34,9333";"1,4216";"1,5544";2;
2017;5902;ENGENHARIA MECÂNICA;14429;FACULDADE PITÁGORAS DE MACEIÓ;;Faculdade;Privada com fins lucrativos;1101878;Educação Presencial;2704302;Maceió;AL;30;24;"42,5917";"0,5967";"27,8958";"0,5322";"0,5484";1;
2017;5902;ENGENHARIA MECÂNICA;15032;UNIVERSIDADE ALTO VALE DO RIO DO PEIXE;UNIARP;Universidade;Privada sem fins lucrativos;1171211;Educação Presencial;4203006;Caçador;SC;22;21;"49,8619";"1,5498";"38,0381";"1,8139";"1,7479";2;
2017;5902;ENGENHARIA MECÂNICA;15453;Faculdade Presidente Antônio Carlos de Conselheiro Lafaiete;;Faculdade;Privada sem fins lucrativos;115270;Educação Presencial;3118304;Conselheiro Lafaiete;MG;107;96;"52,7958";"1,9345";"36,15";"1,5753";"1,6651";2;
2017;5902;ENGENHARIA MECÂNICA;16914;Faculdade Leonardo da Vinci - Santa Catarina;;Faculdade;Privada com fins lucrativos;1200482;Educação Presencial;4218202;Timbó;SC;124;108;"53,0167";"1,9634";"39,9639";"2,0573";"2,0338";3;
2017;5902;ENGENHARIA MECÂNICA;17138;Centro Universitário - Católica de Santa Catarina em Joinville;Católica em Joinvile;Centro Universitário;Privada sem fins lucrativos;1152847;Educação Presencial;4209102;Joinville;SC;5;5;"76,18";5;"45,14";"2,7114";"3,2836";4;
2017;6002;ENGENHARIA DE ALIMENTOS;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;100920;Educação Presencial;5106653;Pontal do Araguaia;MT;9;9;"60,2667";"3,2718";"45,4444";"3,4815";"3,4291";4;
2017;6002;ENGENHARIA DE ALIMENTOS;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;40149;Educação Presencial;2806701;São Cristóvão;SE;9;7;"58,4857";"3,0136";"44,6571";"3,3865";"3,2933";4;
2017;6002;ENGENHARIA DE ALIMENTOS;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pública Federal;1167036;Educação Presencial;1302603;Manaus;AM;14;14;"55,8714";"2,6346";"29,0357";"1,501";"1,7844";2;
2017;6002;ENGENHARIA DE ALIMENTOS;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;691;Educação Presencial;3171303;Viçosa;MG;58;56;"65,1143";"3,9747";"56,325";"4,7948";"4,5898";5;
2017;6002;ENGENHARIA DE ALIMENTOS;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;1109544;Educação Presencial;3126000;Florestal;MG;24;24;"59,625";"3,1788";"45,9458";"3,542";"3,4512";4;
2017;6002;ENGENHARIA DE ALIMENTOS;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;57948;Educação Presencial;4106902;Curitiba;PR;15;14;"63,1";"3,6826";"54,5";"4,5745";"4,3516";5;
2017;6002;ENGENHARIA DE ALIMENTOS;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pública Federal;1045;Educação Presencial;4315602;Rio Grande;RS;10;9;"57,3333";"2,8465";"45,2889";"3,4628";"3,3087";4;
2017;6002;ENGENHARIA DE ALIMENTOS;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pública Federal;115992;Educação Presencial;4317608;Santo Antônio da Patrulha;RS;15;15;"52,9733";"2,2144";"41,86";"3,0489";"2,8403";3;
2017;6002;ENGENHARIA DE ALIMENTOS;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pública Federal;1103535;Educação Presencial;4315602;Rio Grande;RS;24;23;"62,1609";"3,5465";"34,8";"2,1967";"2,5342";3;
2017;6002;ENGENHARIA DE ALIMENTOS;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;50304;Educação Presencial;4305108;Caxias do Sul;RS;7;6;"52,5333";"2,1506";"40,7167";"2,9109";"2,7208";3;
2017;6002;ENGENHARIA DE ALIMENTOS;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;29738;Educação Presencial;4318705;São Leopoldo;RS;14;14;"67,3571";"4,2998";"55,9357";"4,7478";"4,6358";5;
2017;6002;ENGENHARIA DE ALIMENTOS;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pública Federal;1137716;Educação Presencial;3148004;Patos de Minas;MG;28;28;"57,8";"2,9142";"46,0714";"3,5572";"3,3965";4;
2017;6002;ENGENHARIA DE ALIMENTOS;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;20948;Educação Presencial;4314100;Passo Fundo;RS;21;19;"62,2368";"3,5575";"38,3737";"2,6281";"2,8604";3;
2017;6002;ENGENHARIA DE ALIMENTOS;43;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;Universidade;Pública Estadual;81544;Educação Presencial;4212908;Pinhalzinho;SC;22;21;"58,2714";"2,9826";"35,8619";"2,3249";"2,4893";3;
2017;6002;ENGENHARIA DE ALIMENTOS;54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;Universidade;Pública Estadual;2693;Educação Presencial;3509502;Campinas;SP;112;111;"59,5604";"3,1694";"52,1216";"4,2875";"4,008";5;
2017;6002;ENGENHARIA DE ALIMENTOS;54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;Universidade;Pública Estadual;2720;Educação Presencial;3509502;Campinas;SP;60;53;"57,9585";"2,9372";"51,1887";"4,1749";"3,8654";4;
2017;6002;ENGENHARIA DE ALIMENTOS;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;Universidade;Pública Estadual;3156;Educação Presencial;3549805;São José do Rio Preto;SP;45;43;"63,4465";"3,7329";"46,1233";"3,5635";"3,6058";4;
2017;6002;ENGENHARIA DE ALIMENTOS;57;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;Universidade;Pública Estadual;21628;Educação Presencial;4115200;Maringá;PR;25;25;"61,864";"3,5034";"44,028";"3,3106";"3,3588";4;
2017;6002;ENGENHARIA DE ALIMENTOS;57;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;Universidade;Pública Estadual;1147332;Educação Presencial;4128104;Umuarama;PR;13;13;"52,0538";"2,0811";"31,1231";"1,7529";"1,835";2;
2017;6002;ENGENHARIA DE ALIMENTOS;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Universidade;Privada sem fins lucrativos;86778;Educação Presencial;4219309;Videira;SC;15;14;"55,5714";"2,5911";"35,75";"2,3114";"2,3813";3;
2017;6002;ENGENHARIA DE ALIMENTOS;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Universidade;Privada sem fins lucrativos;106712;Educação Presencial;4217204;São Miguel do Oeste;SC;17;16;"51,875";"2,0552";"37,0938";"2,4736";"2,369";3;
2017;6002;ENGENHARIA DE ALIMENTOS;107;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;UFSJ;Universidade;Pública Federal;122308;Educação Presencial;3167202;Sete Lagoas;MG;35;33;"57,6061";"2,8861";"34,4485";"2,1543";"2,3373";3;
2017;6002;ENGENHARIA DE ALIMENTOS;150;UNIVERSIDADE DE SOROCABA;UNISO;Universidade;Privada sem fins lucrativos;1203313;Educação Presencial;3552205;Sorocaba;SP;16;16;"52,3188";"2,1195";"30,7563";"1,7087";"1,8114";2;
2017;6002;ENGENHARIA DE ALIMENTOS;266;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP;Universidade;Privada sem fins lucrativos;20170;Educação Presencial;3545803;Santa Bárbara d'Oeste;SP;27;20;"51,05";"1,9356";"31,55";"1,8045";"1,8372";2;
2017;6002;ENGENHARIA DE ALIMENTOS;349;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;UNI-BH;Centro Universitário;Privada com fins lucrativos;20835;Educação Presencial;3106200;Belo Horizonte;MG;16;15;"59,2533";"3,1249";"38,6333";"2,6594";"2,7758";3;
